4 - List Of Successful Candidate,,,,,,,,
,,,,,,,,
SL. No.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN
165,Karnataka,Dharwad,Pralhad Joshi,GEN,GENERAL,BJP,Lotus,205072
166,Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,GEN,GENERAL,BJP,Lotus,479649
167,Karnataka,Davanagere,G M SIDDESHWAR,GEN,GENERAL,BJP,Lotus,169702
168,Karnataka,Shimoga,B.Y.RAGHAVENDRA.,GEN,GENERAL,BJP,Lotus,223360
169,Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,GEN,GENERAL,BJP,Lotus,349599
170,Karnataka,Hassan,PRAJWAL REVANNA,GEN,GENERAL,JD(S),A lady farmer carrying paddy on her head,141324
171,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,GEN,GENERAL,BJP,Lotus,274621
172,Karnataka,Chitradurga,A NARAYANASWAMY,SC,SC,BJP,Lotus,80178
173,Karnataka,Tumkur,G. S. BASAVARAJ,GEN,GENERAL,BJP,Lotus,13339
174,Karnataka,Mandya,SUMALATHA AMBAREESH,GEN,GENERAL,IND,Man Blowing Turha,125876
175,Karnataka,Mysore,PRATHAP SIMHA,GEN,GENERAL,BJP,Lotus,138647
176,Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,SC,SC,BJP,Lotus,1817
177,Karnataka,Bangalore Rural,D.K. SURESH,GEN,GENERAL,INC,Hand,206870
178,Karnataka,Bangalore North,D.V. Sadananda Gowda,GEN,GENERAL,BJP,Lotus,147518
179,Karnataka,Bangalore central,P. C. Mohan,GEN,GENERAL,BJP,Lotus,70968
180,Karnataka,Bangalore South,TEJASVI SURYA,GEN,GENERAL,BJP,Lotus,331192
181,Karnataka,Chikkballapur,B.N.Bache Gowda,GEN,GENERAL,BJP,Lotus,182110
182,Karnataka,Kolar,S. MUNISWAMY,SC,SC,BJP,Lotus,210021
183,Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,GEN,GENERAL,BJP,Lotus,118877
184,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,GEN,GENERAL,BJP,Lotus,391304
