District,YEAR,Cropped.land.area
Narayanpur,2017,32040
Narayanpur,2018,32392
Sukma,2011,97652
Sukma,2012,97301
Sukma,2013,97389
Sukma,2014,104535
Sukma,2015,107118
Sukma,2016,105546
Sukma,2017,105905
Sukma,2018,102391
Kondagaon,2011,137400
Kondagaon,2012,137489
Kondagaon,2013,137763
Kondagaon,2014,137923
Kondagaon,2015,136778
Kondagaon,2016,143844
Kondagaon,2017,144563
Kondagaon,2018,145847
Baloda Bazar,2011,284396
Baloda Bazar,2012,280891
Baloda Bazar,2013,283103
Baloda Bazar,2014,291670
Baloda Bazar,2015,296241
Baloda Bazar,2016,275795
Baloda Bazar,2017,254289
Baloda Bazar,2018,262849
Gariyaband,2011,158976
Gariyaband,2012,161496
Gariyaband,2013,162524
Gariyaband,2014,166948
Gariyaband,2015,156739
Gariyaband,2016,153546
Gariyaband,2017,157652
Gariyaband,2018,161202
Balod,2011,256446
Balod,2012,255770
Balod,2013,256093
Balod,2014,257565
Balod,2015,234179
Balod,2016,247874
Balod,2017,242734
Balod,2018,237601
Mungeli,2011,207023
Mungeli,2012,208007
Mungeli,2013,208373
Mungeli,2014,209680
Mungeli,2015,215064
Mungeli,2016,212598
Mungeli,2017,213631
Mungeli,2018,207797
Surajpur,2011,176797
Surajpur,2012,177918
Surajpur,2013,181599
Surajpur,2014,180406
Surajpur,2015,178217
Surajpur,2016,177778
Surajpur,2017,174087
Surajpur,2018,172681
Balrampur,2011,181549
Balrampur,2012,177930
Balrampur,2013,178912
Balrampur,2014,180993
Balrampur,2015,178735
Balrampur,2016,179709
Balrampur,2017,177332
Balrampur,2018,174311
Bemetara,2011,339513
Bemetara,2012,342383
Bemetara,2013,354268
Bemetara,2014,353720
Bemetara,2015,356512
Bemetara,2016,346134
Bemetara,2017,345437
Bemetara,2018,361093
Gaurella Pendra Marwahi,2011,104259.7427
Gaurella Pendra Marwahi,2012,102355.237
Gaurella Pendra Marwahi,2013,103121.4988
Gaurella Pendra Marwahi,2014,103004.7014
Gaurella Pendra Marwahi,2015,100359.063
Gaurella Pendra Marwahi,2016,94845.51718
Gaurella Pendra Marwahi,2017,88864.07385
Gaurella Pendra Marwahi,2018,89835.26205
Anuppur,2011,200461.1627
Anuppur,2012,209514.4792
Anuppur,2013,208903
Anuppur,2014,208866
Anuppur,2015,177889
Anuppur,2016,190681
Anuppur,2017,190264
Ashoknagar,2011,469559
Ashoknagar,2012,478744
Ashoknagar,2013,496445
Ashoknagar,2014,499933
Ashoknagar,2015,487559
Ashoknagar,2016,517379
Ashoknagar,2017,567395
Balaghat,2011,343818
Balaghat,2012,351509
Balaghat,2013,346752
Balaghat,2014,346261
Balaghat,2015,296000
Balaghat,2016,344651
Balaghat,2017,334838
Barwani,2011,275351
Barwani,2012,276446
Barwani,2013,289122
Barwani,2014,294212
Barwani,2015,298080
Barwani,2016,299015
Barwani,2017,308289
Betul,2011,567846
Betul,2012,601873
Betul,2013,604455
Betul,2014,607621
Betul,2015,602113
Betul,2016,599569
Betul,2017,632405
Bhind,2011,373280
Bhind,2012,381448
Bhind,2013,382813
Bhind,2014,395005
Bhind,2015,407829
Bhind,2016,410992
Bhind,2017,406245
Bhopal,2011,241743
Bhopal,2012,246212
Bhopal,2013,247552
Bhopal,2014,241899
Bhopal,2015,229901
Bhopal,2016,229649
Bhopal,2017,294685
Burhanpur,2011,121740.6737
Burhanpur,2012,122849.8728
Burhanpur,2013,124672
Burhanpur,2014,125605
Burhanpur,2015,126938
Burhanpur,2016,130668
Burhanpur,2017,134199
Chhatarpur,2011,592913
Chhatarpur,2012,632075
Chhatarpur,2013,661123
Chhatarpur,2014,650335
Chhatarpur,2015,544714
Chhatarpur,2016,633120
Chhatarpur,2017,634024
Chhindwara,2011,676284.2046
Chhindwara,2012,706603.0422
Chhindwara,2013,720374
Chhindwara,2014,725172
Chhindwara,2015,717851
Chhindwara,2016,714833
Chhindwara,2017,733787
Damoh,2011,450132
Damoh,2012,466805
Damoh,2013,519135
Damoh,2014,520288
Damoh,2015,540371
Damoh,2016,585076
Damoh,2017,560640
Datia,2011,273546.0132
Datia,2012,275563.2313
Datia,2013,268507
Datia,2014,271499
Datia,2015,281218
Datia,2016,289967
Datia,2017,324290
Dewas,2011,690525
Dewas,2012,705297
Dewas,2013,728419
Dewas,2014,736493
Dewas,2015,735646
Dewas,2016,752627
Dewas,2017,768801
Dhar,2011,769700
Dhar,2012,781407
Dhar,2013,818257
Dhar,2014,810479
Dhar,2015,817655
Dhar,2016,831962
Dhar,2017,848981
Dindori,2011,290247.1388
Dindori,2012,292574.2105
Dindori,2013,289458
Dindori,2014,290506
Dindori,2015,287087
Dindori,2016,289520
Dindori,2017,274796
East Nimar,2011,424189
East Nimar,2012,438095
East Nimar,2013,451472
East Nimar,2014,455348
East Nimar,2015,453018
East Nimar,2016,457814
East Nimar,2017,492346
Guna,2011,483107
Guna,2012,508052
Guna,2013,524466
Guna,2014,530532
Guna,2015,557952
Guna,2016,574981
Guna,2017,642386
Gwalior,2011,265306
Gwalior,2012,293651
Gwalior,2013,293795
Gwalior,2014,283434
Gwalior,2015,279545
Gwalior,2016,276340
Gwalior,2017,259139
Harda,2011,355184
Harda,2012,360386
Harda,2013,361132
Harda,2014,358844
Harda,2015,363954
Harda,2016,366415
Harda,2017,369960
Hoshangabad,2011,543370
Hoshangabad,2012,554143
Hoshangabad,2013,636209
Hoshangabad,2014,611712
Hoshangabad,2015,648176
Hoshangabad,2016,628031
Hoshangabad,2017,687716
Indore,2011,455727
Indore,2012,462502
Indore,2013,466632
Indore,2014,466719
Indore,2015,468132
Indore,2016,470120
Indore,2017,493222
Jabalpur,2011,400315.3263
Jabalpur,2012,396869.1272
Jabalpur,2013,424268
Jabalpur,2014,431093
Jabalpur,2015,428354
Jabalpur,2016,450639
Jabalpur,2017,464659
Jhabua,2011,237253
Jhabua,2012,249421
Jhabua,2013,255431
Jhabua,2014,251116
Jhabua,2015,238241
Jhabua,2016,246742
Jhabua,2017,264395
Katni,2011,268457
Katni,2012,290343
Katni,2013,308195
Katni,2014,303596
Katni,2015,296340
Katni,2016,310796
Katni,2017,338164
Khargone,2011,505661
Khargone,2012,521278
Khargone,2013,547009
Khargone,2014,577383
Khargone,2015,582649
Khargone,2016,585821
Khargone,2017,692271
Mandla,2011,326340.7954
Mandla,2012,319066.9578
Mandla,2013,325097
Mandla,2014,326520
Mandla,2015,314836
Mandla,2016,316506
Mandla,2017,320016
Mandsaur,2011,590765
Mandsaur,2012,597620
Mandsaur,2013,625990
Mandsaur,2014,616418
Mandsaur,2015,601833
Mandsaur,2016,620443
Mandsaur,2017,635888
Morena,2011,375407
Morena,2012,373015
Morena,2013,396442
Morena,2014,398166
Morena,2015,397423
Morena,2016,396821
Morena,2017,423582
Narsinghpur,2011,424512
Narsinghpur,2012,442860
Narsinghpur,2013,471782
Narsinghpur,2014,467489
Narsinghpur,2015,476507
Narsinghpur,2016,484035
Narsinghpur,2017,480990
Neemuch,2011,301228
Neemuch,2012,306128
Neemuch,2013,311079
Neemuch,2014,312633
Neemuch,2015,305971
Neemuch,2016,311659
Neemuch,2017,320957
Panna,2011,398852
Panna,2012,397180
Panna,2013,417540
Panna,2014,401678
Panna,2015,375331
Panna,2016,373270
Panna,2017,412207
Raisen,2011,633972
Raisen,2012,667399
Raisen,2013,719472
Raisen,2014,680500
Raisen,2015,709928
Raisen,2016,695790
Raisen,2017,722947
Rajgarh,2011,745646
Rajgarh,2012,772488
Rajgarh,2013,783952
Rajgarh,2014,789989
Rajgarh,2015,795239
Rajgarh,2016,799604
Rajgarh,2017,808363
Ratlam,2011,539313
Ratlam,2012,554646
Ratlam,2013,577475
Ratlam,2014,550874
Ratlam,2015,538176
Ratlam,2016,557238
Ratlam,2017,581364
Rewa,2011,504698
Rewa,2012,506423
Rewa,2013,517271
Rewa,2014,516307
Rewa,2015,494233
Rewa,2016,518568
Rewa,2017,516278
Sagar,2011,874645.8612
Sagar,2012,858850.7895
Sagar,2013,887288
Sagar,2014,884571
Sagar,2015,924841
Sagar,2016,923551
Sagar,2017,960091
Satna,2011,492323.205
Satna,2012,493576.5882
Satna,2013,515188
Satna,2014,509572
Satna,2015,507787
Satna,2016,526473
Satna,2017,611037
Sehore,2011,694634
Sehore,2012,729293
Sehore,2013,760512
Sehore,2014,761938
Sehore,2015,753927
Sehore,2016,767628
Sehore,2017,775721
Seoni,2011,538444
Seoni,2012,561335
Seoni,2013,578037
Seoni,2014,577886
Seoni,2015,563178
Seoni,2016,571082
Seoni,2017,594530
Shahdol,2011,202120.8373
Shahdol,2012,217064.5208
Shahdol,2013,268682
Shahdol,2014,215680
Shahdol,2015,197208
Shahdol,2016,214073
Shahdol,2017,213094
Shajapur,2011,440025.5641
Shajapur,2012,445229.774
Shajapur,2013,501508
Shajapur,2014,494221
Shajapur,2015,498827
Shajapur,2016,504530
Shajapur,2017,512740
Sheopur,2011,240569
Sheopur,2012,239838
Sheopur,2013,260547
Sheopur,2014,259762
Sheopur,2015,269708
Sheopur,2016,277945
Sheopur,2017,261940
Shivpuri,2011,667856.9868
Shivpuri,2012,680238.7687
Shivpuri,2013,713794
Shivpuri,2014,712689
Shivpuri,2015,665341
Shivpuri,2016,691033
Shivpuri,2017,775372
Sidhi,2011,232733
Sidhi,2012,231957
Sidhi,2013,234540
Sidhi,2014,231770
Sidhi,2015,230932
Sidhi,2016,229395
Sidhi,2017,232782
Tikamgarh,2011,324394.8862
Tikamgarh,2012,339758.9838
Tikamgarh,2013,348903.5563
Y.S.R.,2015,396864
Tikamgarh,2014,345576.5847
Tikamgarh,2015,269330.9337
Tikamgarh,2016,359071.0863
Tikamgarh,2017,283250.171
Ujjain,2011,886569
Ujjain,2012,925168
Ujjain,2013,938003
Ujjain,2014,882067
Ujjain,2015,905799
Ujjain,2016,924171
Ujjain,2017,961567
Umaria,2011,140291
Umaria,2012,139173
Umaria,2013,145193
Umaria,2014,139687
Umaria,2015,132114
Umaria,2016,138395
Umaria,2017,141540
Vidisha,2011,788416
Vidisha,2012,840203
Vidisha,2013,919277
Vidisha,2014,897535
Vidisha,2015,969331
Vidisha,2016,971938
Vidisha,2017,1004508
Singrauli,2011,228510
Singrauli,2012,227213
Singrauli,2013,226864
Singrauli,2014,225787
Singrauli,2015,224545
Singrauli,2016,229181
Singrauli,2017,229383
Alirajpur,2011,202824
Alirajpur,2012,205632
Alirajpur,2013,211745
Alirajpur,2014,213324
Alirajpur,2015,210912
Alirajpur,2016,209850
Alirajpur,2017,205693
Y.S.R.,2016,375045
Agar Malwa,2011,335399.4359
Agar Malwa,2012,339366.226
Agar Malwa,2013,297742
Agar Malwa,2014,286090
Agar Malwa,2015,288306
Agar Malwa,2016,292429
Agar Malwa,2017,314095
Niwari,2011,110182.9088
Niwari,2012,115401.428
Niwari,2013,118507.4437
Niwari,2014,117377.4153
Niwari,2015,91480.06629
Niwari,2016,121960.9137
Niwari,2017,96207.82901
Anantapur,2011,1114083
Anantapur,2012,1083515
Anantapur,2013,1106371
Anantapur,2014,942309
Anantapur,2015,920178
Anantapur,2016,919510
Anantapur,2017,842174
Anantapur,2018,925577
Chittoor,2011,408348
Chittoor,2012,401092
Chittoor,2013,417066
Chittoor,2014,378839
Chittoor,2015,430201
Chittoor,2016,404223
Chittoor,2017,420577
Chittoor,2018,407422
Y.S.R.,2011,432970
Y.S.R.,2012,425113
Y.S.R.,2013,418871
Y.S.R.,2014,354734
Y.S.R.,2017,371033
Y.S.R.,2018,328650
East Godavari,2011,669951.8631
East Godavari,2012,727257.4291
East Godavari,2013,727733.4685
East Godavari,2014,713333.232
East Godavari,2015,706619.5402
East Godavari,2016,682574
East Godavari,2017,666037
East Godavari,2018,648439
Guntur,2011,829312
Guntur,2012,737015
Guntur,2013,862903
Guntur,2014,809674
Guntur,2015,676344
Guntur,2016,703753
Guntur,2017,769893
Guntur,2018,771492
Krishna,2011,726436
Krishna,2012,700624
Krishna,2013,728495
Krishna,2014,676999
Krishna,2015,609355
Krishna,2016,624319
Krishna,2017,649051
Krishna,2018,660930
Kurnool,2011,962190
Kurnool,2012,998341
Kurnool,2013,1001697
Kurnool,2014,997959
Kurnool,2015,917291
Kurnool,2016,975197
Kurnool,2017,952906
Kurnool,2018,937278
Spsr Nellore,2011,448592
Spsr Nellore,2012,423138
Spsr Nellore,2013,374181
Spsr Nellore,2014,394565
Spsr Nellore,2015,463066
Spsr Nellore,2016,358200
Spsr Nellore,2017,360575
Spsr Nellore,2018,291737
Prakasam,2011,636433
Prakasam,2012,642626
Prakasam,2013,688818
Prakasam,2014,605169
Prakasam,2015,613988
Prakasam,2016,562358
Prakasam,2017,554513
Prakasam,2018,563281
Srikakulam,2011,428261
Srikakulam,2012,422571
Srikakulam,2013,414006
Srikakulam,2014,419064
Srikakulam,2015,408850
Srikakulam,2016,408356
Srikakulam,2017,450058
Srikakulam,2018,431719
Visakhapatanam,2011,360473
Visakhapatanam,2012,360087
Visakhapatanam,2013,368902
Visakhapatanam,2014,362847
Visakhapatanam,2015,350736
Visakhapatanam,2016,335523
Visakhapatanam,2017,339759
Visakhapatanam,2018,323822
Vizianagaram,2011,379235
Vizianagaram,2012,372619
Vizianagaram,2013,357894
Vizianagaram,2014,372693
Vizianagaram,2015,372175
Vizianagaram,2016,381579
Vizianagaram,2017,371534
Vizianagaram,2018,345860
West Godavari,2011,717390.4807
West Godavari,2012,721410.317
Ballari,2017,508286
West Godavari,2013,721313.9578
West Godavari,2014,710922.2098
West Godavari,2015,711588.7298
West Godavari,2016,687420
West Godavari,2017,696593
West Godavari,2018,660422
Bagalkote,2011,616301
Bagalkote,2012,508067
Bagalkote,2013,588692
Bagalkote,2014,569436
Bagalkote,2015,550295
Bagalkote,2016,604730
Bagalkote,2017,609716
Bengaluru Urban,2011,53591
Bengaluru Urban,2012,54174
Bengaluru Urban,2013,51062
Bengaluru Urban,2014,45376
Bengaluru Urban,2015,41207
Bengaluru Urban,2016,37174
Bengaluru Urban,2017,36275
Bengaluru Rural,2011,130615
Bengaluru Rural,2012,122960
Bengaluru Rural,2013,119589
Bengaluru Rural,2014,111873
Bengaluru Rural,2015,116951
Bengaluru Rural,2016,107564
Bengaluru Rural,2017,103291
Belagavi,2011,1011264
Belagavi,2012,896070
Belagavi,2013,967723
Belagavi,2014,1024933
Belagavi,2015,1021296
Belagavi,2016,1039385
Belagavi,2017,1007829
Ballari,2011,532016
Ballari,2012,563898
Ballari,2013,521204
Ballari,2014,548819
Ballari,2015,552223
Ballari,2016,432320
Bidar,2011,415695
Bidar,2012,434364
Bidar,2013,450335
Bidar,2014,367699
Bidar,2015,397708
Bidar,2016,483726
Bidar,2017,451737
Vijayapura,2011,844202
Vijayapura,2012,933380
Vijayapura,2013,949189
Vijayapura,2014,914884
Vijayapura,2015,968726
Vijayapura,2016,958705
Vijayapura,2017,968120
Chamarajanagara,2011,222404
Chamarajanagara,2012,232286
Chamarajanagara,2013,188808
Chamarajanagara,2014,191024
Chamarajanagara,2015,194692
Chamarajanagara,2016,151456
Chamarajanagara,2017,193657
Chikkamagaluru,2011,323635
Chikkamagaluru,2012,332896
Chikkamagaluru,2013,348564
Chikkamagaluru,2014,357611
Chikkamagaluru,2015,360969
Chikkamagaluru,2016,329218
Chikkamagaluru,2017,337402
Chitradurga,2011,453484
Chitradurga,2012,453417
Chitradurga,2013,461270
Chitradurga,2014,500394
Chitradurga,2015,469919
Chitradurga,2016,467021
Chitradurga,2017,442888
Dakshina Kannada,2011,157683
Dakshina Kannada,2012,156945
Dakshina Kannada,2013,157583
Dakshina Kannada,2014,167601
Dakshina Kannada,2015,166155
Dakshina Kannada,2016,158761
Dakshina Kannada,2017,157947
Davangere,2011,486680
Davangere,2012,462669
Davangere,2013,461126
Davangere,2014,480805
Davangere,2015,425786
Davangere,2016,405141
Davangere,2017,417160
Dharwad,2011,477025
Dharwad,2012,379601
Dharwad,2013,465411
Dharwad,2014,463447
Dharwad,2015,519337
Dharwad,2016,488274
Dharwad,2017,443720
Gadag,2011,494617
Gadag,2012,423152
Gadag,2013,527409
Gadag,2014,538246
Gadag,2015,497896
Gadag,2016,572195
Gadag,2017,505841
Kalaburagi,2011,972506
Kalaburagi,2012,941636
Kalaburagi,2013,1021186
Kalaburagi,2014,1049293
Kalaburagi,2015,905244
Kalaburagi,2016,1031220
Kalaburagi,2017,1072949
Hassan,2011,449236
Hassan,2012,434248
Hassan,2013,428127
Hassan,2014,449347
Hassan,2015,417578
Hassan,2016,364071
Hassan,2017,421058
Haveri,2011,411129
Haveri,2012,417886
Haveri,2013,424770
Haveri,2014,428899
Haveri,2015,432164
Haveri,2016,423122
Haveri,2017,413769
Kodagu,2011,185882
Kodagu,2012,182670
Kodagu,2013,182229
Kodagu,2014,190619
Kodagu,2015,188788
Kodagu,2016,189287
Kodagu,2017,188605
Kolar,2011,194233
Kolar,2012,187834
Kolar,2013,179825
Kolar,2014,176791
Kolar,2015,171170
Kolar,2016,177060
Kolar,2017,173392
Koppal,2011,433195
Koppal,2012,485087
Koppal,2013,488446
Koppal,2014,500426
Koppal,2015,459736
Koppal,2016,418331
Koppal,2017,484776
Mandya,2011,272524
Mandya,2012,242365
Mandya,2013,239484
Mandya,2014,272203
Mandya,2015,259698
Mandya,2016,200143
Mandya,2017,256659
Mysuru,2011,536323
Mysuru,2012,479215
Mysuru,2013,522494
Mysuru,2014,486519
Mysuru,2015,490605
Mysuru,2016,368518
Mysuru,2017,487063
Raichur,2011,541135
Raichur,2012,634128
Raichur,2013,678925
Raichur,2014,565750
Raichur,2015,562105
Raichur,2016,579313
Raichur,2017,505155
Shivamogga,2011,267814
Shivamogga,2012,268599
Shivamogga,2013,265681
Shivamogga,2014,263916
Shivamogga,2015,250980
Shivamogga,2016,246176
Shivamogga,2017,251282
Tumakuru,2011,575961
Tumakuru,2012,556944
Tumakuru,2013,543426
Tumakuru,2014,599564
Tumakuru,2015,558134
Tumakuru,2016,538518
Tumakuru,2017,541659
Udupi,2011,117843
Udupi,2012,112693
Udupi,2013,113296
Udupi,2014,111503
Udupi,2015,111534
Udupi,2016,107829
Udupi,2017,108341
Uttara Kannada,2011,123555
Uttara Kannada,2012,125725
Uttara Kannada,2013,122285
Uttara Kannada,2014,122451
Uttara Kannada,2015,122053
Uttara Kannada,2016,121061
Uttara Kannada,2017,122408
Chikkaballapura,2011,215484
Chikkaballapura,2012,218073
Chikkaballapura,2013,210476
Chikkaballapura,2014,212971
Chikkaballapura,2015,216896
Chikkaballapura,2016,213397
Chikkaballapura,2017,221886
Ramanagara,2011,168997
Ramanagara,2012,148022
Ramanagara,2013,169844
Ramanagara,2014,160618
Ramanagara,2015,172097
Ramanagara,2016,162322
Ramanagara,2017,172324
Yadgir,2011,374338
Yadgir,2012,358853
Yadgir,2013,418447
Yadgir,2014,373617
Yadgir,2015,406637
Yadgir,2016,402900
Yadgir,2017,388438
North Goa,2011,101054
North Goa,2012,100236
South Goa,2011,62938
South Goa,2012,62269
South Goa,2013,62997
South Goa,2014,63067
South Goa,2015,76864
South Goa,2016,76135
South Goa,2017,75064
Lakshadweep District,2011,2750
Lakshadweep District,2012,3183
Lakshadweep District,2013,3182
Lakshadweep District,2014,3183
Lakshadweep District,2015,2291
Lakshadweep District,2016,2288
Lakshadweep District,2017,2288
Alappuzha,2011,107389
Alappuzha,2012,104287
Alappuzha,2013,106619
Alappuzha,2014,103135
Alappuzha,2015,101359
Alappuzha,2016,102621
Alappuzha,2017,110118
Alappuzha,2018,111741
Ernakulam,2011,172449
Ernakulam,2012,163767
Ernakulam,2013,165157
Ernakulam,2014,166462
Ernakulam,2015,165947
Ernakulam,2016,166086
Ernakulam,2017,164595
Ernakulam,2018,162092
Idukki,2011,276493
Idukki,2012,268142
Idukki,2013,263171
Idukki,2014,272042
Idukki,2015,272735
Idukki,2016,270356
Idukki,2017,271972
Idukki,2018,265876
Kannur,2011,226532
Kannur,2012,222863
Kannur,2013,219456
Kannur,2014,221109
Kannur,2015,225218
Kannur,2016,221367
Kannur,2017,220107
Kannur,2018,219900
Kasaragod,2011,150811
Kasaragod,2012,148268
Kasaragod,2013,151871
Kasaragod,2014,152630
Kasaragod,2015,157191
Kasaragod,2016,155789
Kasaragod,2017,157905
Kasaragod,2018,157858
Kollam,2011,157343
Kollam,2012,155764
Kollam,2013,159584
Kollam,2014,151246
Kollam,2015,146378
Kollam,2016,147942
Kollam,2017,141576
Kollam,2018,140261
Kottayam,2011,209452
Kottayam,2012,202052
Kottayam,2013,199535
Kottayam,2014,202423
Kottayam,2015,201706
Kottayam,2016,204337
Kottayam,2017,207091
Kottayam,2018,210913
Kozhikode,2011,206971
Kozhikode,2012,203275
Kozhikode,2013,200116
Kozhikode,2014,201994
Kozhikode,2015,202058
Kozhikode,2016,198389
Kozhikode,2017,191345
Kozhikode,2018,193894
Malappuram,2011,240877
Malappuram,2012,230288
Malappuram,2013,237098
Malappuram,2014,240730
Malappuram,2015,243184
Malappuram,2016,237860
Malappuram,2017,241093
Malappuram,2018,236596
Palakkad,2011,302348
Palakkad,2012,291194
Palakkad,2013,301711
Palakkad,2014,300623
Palakkad,2015,291841
Palakkad,2016,278455
Palakkad,2017,272326
Palakkad,2018,272197
Pathanamthitta,2011,102385
Pathanamthitta,2012,99719
Pathanamthitta,2013,101326
Pathanamthitta,2014,103344
Pathanamthitta,2015,103043
Pathanamthitta,2016,103972
Pathanamthitta,2017,105427
Pathanamthitta,2018,104621
Thiruvananthapuram,2011,155065
Thiruvananthapuram,2012,154322
Thiruvananthapuram,2013,159217
Thiruvananthapuram,2014,162748
Thiruvananthapuram,2015,161665
Thiruvananthapuram,2016,158979
Thiruvananthapuram,2017,156085
Thiruvananthapuram,2018,160055
Thrissur,2011,181287
Thrissur,2012,177180
Thrissur,2013,177619
Thrissur,2014,174797
Thrissur,2015,173829
Thrissur,2016,170978
Thrissur,2017,171398
Thrissur,2018,168022
Wayanad,2011,172355
Wayanad,2012,170613
Wayanad,2013,174190
Wayanad,2014,171341
Wayanad,2015,181423
Wayanad,2016,166875
Wayanad,2017,168663
Wayanad,2018,167069
Chennai,2011,9616.528087
Chennai,2012,9271.896667
Chennai,2013,10235.07184
Chennai,2014,9695.877305
Chennai,2015,10643.80606
Chennai,2016,9933.811317
Coimbatore,2011,177898.7296
Tiruvannamalai,2016,220851
Coimbatore,2012,179493.4651
Coimbatore,2013,186197.3167
Coimbatore,2014,184742.9625
Coimbatore,2015,185255.2494
Coimbatore,2016,176090.5626
Cuddalore,2011,299729
Cuddalore,2012,274887
Cuddalore,2013,325444
Cuddalore,2014,332302
Cuddalore,2015,332216
Cuddalore,2016,313230
Dharmapuri,2011,244688
Dharmapuri,2012,174192
Dharmapuri,2013,258650
Dharmapuri,2014,210439
Dharmapuri,2015,228299
Dharmapuri,2016,161680
Dindigul,2011,232039.8846
Dindigul,2012,217460.0416
Dindigul,2013,203708.6661
Dindigul,2014,241148.728
Dindigul,2015,238680.3587
Dindigul,2016,209755.7543
Erode,2011,222084.225
Erode,2012,172270.2226
Erode,2013,185342.7046
Erode,2014,198558.8925
Ariyalur,2013,113643
Erode,2015,193626.5961
Erode,2016,137135.6197
Kanchipuram,2011,46886.88276
Kanchipuram,2012,41788.28548
Kanchipuram,2013,44777.55238
Kanchipuram,2014,35734.23335
Kanchipuram,2015,48652.30863
Kanchipuram,2016,40695.12075
Kanniyakumari,2011,87676
Kanniyakumari,2012,82437
Kanniyakumari,2013,84663
Kanniyakumari,2014,83556
Kanniyakumari,2015,82653
Kanniyakumari,2016,80993
Karur,2011,95187
Karur,2012,73907
Karur,2013,83662
Karur,2014,93610
Karur,2015,87966
Karur,2016,47460
Krishnagiri,2011,222049
Krishnagiri,2012,216928
Krishnagiri,2013,255706
Krishnagiri,2014,224773
Krishnagiri,2015,213750
Krishnagiri,2016,180061
Madurai,2011,140851
Madurai,2012,85480
Madurai,2013,111072
Madurai,2014,130300
Madurai,2015,138429
Madurai,2016,89252
Nagapattinam,2011,146301.2942
Nagapattinam,2012,112922.8721
Nagapattinam,2013,136519.5763
Nagapattinam,2014,136590.2372
Nagapattinam,2015,138011.0824
Nagapattinam,2016,124245.9146
Namakkal,2011,181815
Namakkal,2012,189864
Namakkal,2013,217208
Namakkal,2014,224896
Namakkal,2015,207720
Namakkal,2016,162032
Perambalur,2011,108141
Perambalur,2012,102578
Perambalur,2013,106275
Perambalur,2014,112717
Perambalur,2015,122106
Perambalur,2016,98376
Pudukkottai,2011,158798
Pudukkottai,2012,141005
Pudukkottai,2013,132234
Pudukkottai,2014,118674
Pudukkottai,2015,123714
Pudukkottai,2016,119609
Ramanathapuram,2011,190628
Ramanathapuram,2012,171769
Ramanathapuram,2013,201629
Ramanathapuram,2014,198818
Ramanathapuram,2015,167471
Ramanathapuram,2016,172464
Salem,2011,323351
Salem,2012,279135
Salem,2013,293852
Salem,2014,305154
Salem,2015,304755
Salem,2016,231892
Sivaganga,2011,121978.978
Sivaganga,2012,102953.9031
Sivaganga,2013,99011.0514
Sivaganga,2014,96052.52805
Sivaganga,2015,98099.07167
Sivaganga,2016,96091.34496
Thanjavur,2011,285312.022
Thanjavur,2012,234848.0969
Thanjavur,2013,267689.9486
Thanjavur,2014,270762.4719
Thanjavur,2015,269638.9283
Thanjavur,2016,239461.655
The Nilgiris,2011,78349.25889
The Nilgiris,2012,77591.87957
The Nilgiris,2013,77785.527
The Nilgiris,2014,77286.13215
The Nilgiris,2015,78315.32698
The Nilgiris,2016,77925.11387
Theni,2011,144766.775
Theni,2012,115581.7774
Theni,2013,125715.2954
Theni,2014,128185.1075
Theni,2015,127024.4039
Ariyalur,2014,111877
Theni,2016,115970.3803
Thiruvallur,2011,126563.0271
Thiruvallur,2012,126244.6307
Thiruvallur,2013,141026.7756
Thiruvallur,2014,141844.1513
Thiruvallur,2015,144084.3311
Thiruvallur,2016,140286.3853
Thiruvarur,2011,280142
Thiruvarur,2012,196198
Thiruvarur,2013,300723
Thiruvarur,2014,327243
Thiruvarur,2015,328868
Thiruvarur,2016,282408
Tiruchirappalli,2011,164312
Tiruchirappalli,2012,149039
Tiruchirappalli,2013,161649
Tiruchirappalli,2014,178610
Tiruchirappalli,2015,179230
Tiruchirappalli,2016,127383
Tirunelveli,2011,97878.63369
Tirunelveli,2012,74989.83057
Tirunelveli,2013,88863.47476
Tirunelveli,2014,106163.5144
Tirunelveli,2015,113239.6587
Tirunelveli,2016,77232.12417
Tiruvannamalai,2011,256724
Tiruvannamalai,2012,230442
Tiruvannamalai,2013,229893
Tiruvannamalai,2014,255317
Tiruvannamalai,2015,287789
Tuticorin,2011,178539.358
Tuticorin,2012,173244.0296
Tuticorin,2013,186417.9874
Tuticorin,2014,195842.3066
Tuticorin,2015,208436.9964
Tuticorin,2016,195402.492
Vellore,2011,75008.9471
Vellore,2012,76369.09067
Vellore,2013,77701.29955
Vellore,2014,79614.23505
Vellore,2015,79653.57967
Vellore,2016,72796.20559
Villupuram,2011,194601.9575
Villupuram,2012,180836.5402
Villupuram,2013,269744.3005
Villupuram,2014,256109.2948
Villupuram,2015,260238.2733
Villupuram,2016,207711.545
Virudhunagar,2011,124360
Virudhunagar,2012,117593
Virudhunagar,2013,120328
Virudhunagar,2014,127621
Virudhunagar,2015,139057
Virudhunagar,2016,120938
Ariyalur,2011,105129
Ariyalur,2012,96475
Ariyalur,2015,108839
Ariyalur,2016,101699
Tiruppur,2011,182410.1269
Tiruppur,2012,145547.6138
Tiruppur,2013,165967.4902
Tiruppur,2014,175038.1773
Tiruppur,2015,170188.0649
Tiruppur,2016,152024.5693
Kallakurichi,2011,166514.0425
Kallakurichi,2012,154735.4598
Kallakurichi,2013,230810.6995
Kallakurichi,2014,219143.7052
Kallakurichi,2015,222676.7267
