District,YEAR,Cropped.land.area
Sirsa,2014,735247
Sirsa,2015,744269
Sirsa,2016,727810
Sirsa,2017,742810
Sonipat,2011,315992
Sonipat,2012,285332
Sonipat,2013,290177
Sonipat,2014,281606
Sonipat,2015,303210
Sonipat,2016,299286
Sonipat,2017,295808
Yamunanagar,2011,212417
Yamunanagar,2012,211330
Yamunanagar,2013,208056
Yamunanagar,2014,210697
Yamunanagar,2015,211849
Kra Daadi,2013,NA
Yamunanagar,2016,209049
Yamunanagar,2017,210921
Nuh,2011,171736
Nuh,2012,156240
Nuh,2013,178198
Nuh,2014,172537
Nuh,2015,183121
Nuh,2016,184260
Nuh,2017,185301
Palwal,2011,196173
Palwal,2012,189878
Palwal,2013,193590
Palwal,2014,199639
Palwal,2015,195798
Palwal,2016,195718
Palwal,2017,193231
Charki Dadri,2011,217936.6565
Charki Dadri,2012,209266.6179
Charki Dadri,2013,217997.3252
Charki Dadri,2014,233878.4068
Charki Dadri,2015,218274.4578
Charki Dadri,2016,218976.8608
Charki Dadri,2017,223660
New Delhi,2011,39862
Ajmer,2011,640144
Ajmer,2012,664060
Ajmer,2013,753794
Ajmer,2014,645563
Ajmer,2015,559425
Ajmer,2016,717927
Ajmer,2017,583255
Ajmer,2018,612853
Alwar,2011,854278
Alwar,2012,852893
Alwar,2013,866860
Alwar,2014,855160
Alwar,2015,871844
Alwar,2016,870675
Alwar,2017,847269
Alwar,2018,869432
Banswara,2011,336742
Kra Daadi,2014,NA
Banswara,2012,340069
Banswara,2013,345438
Banswara,2014,343518
Banswara,2015,340409
Banswara,2016,343121
Banswara,2017,341742
Banswara,2018,359569
Baran,2011,593234
Baran,2012,628788
Baran,2013,659039
Baran,2014,493597
Baran,2015,662661
Baran,2016,663288
Baran,2017,647030
Baran,2018,660286
Barmer,2011,1867562
Barmer,2012,1646001
Barmer,2013,1897017
Barmer,2014,1604199
Barmer,2015,1846104
Barmer,2016,1893136
Barmer,2017,1909391
Barmer,2018,1853493
Bharatpur,2011,591259
Bharatpur,2012,587087
Bharatpur,2013,603492
Bharatpur,2014,598696
Bharatpur,2015,616849
Bharatpur,2016,606309
Bharatpur,2017,597146
Bharatpur,2018,605666
Bhilwara,2011,624252
Bhilwara,2012,643029
Bhilwara,2013,679893
Bhilwara,2014,639120
Bhilwara,2015,600440
Bhilwara,2016,677438
Bhilwara,2017,610934
Bhilwara,2018,612391
Bikaner,2011,1884223
Bikaner,2012,1807405
Bikaner,2013,2017102
Bikaner,2014,1928363
Bikaner,2015,2050904
Champhai,2012,NA
Bikaner,2016,2026119
Bikaner,2017,1967142
Bikaner,2018,2049347
Bundi,2011,461365
Bundi,2012,464266
Bundi,2013,456516
Bundi,2014,467959
Bundi,2015,481996
Bundi,2016,495946
Bundi,2017,482464
Bundi,2018,492034
Chittorgarh,2011,505438
Chittorgarh,2012,517587
Chittorgarh,2013,536622
Chittorgarh,2014,544744
Chittorgarh,2015,548912
Chittorgarh,2016,576370
Chittorgarh,2017,572150
Chittorgarh,2018,567255
Churu,2011,1527962
Churu,2012,1354565
Churu,2013,1624577
Churu,2014,1452323
Churu,2015,1375702
Churu,2016,1470905
Churu,2017,1353230
Churu,2018,1409087
Dausa,2011,383988
Dausa,2012,378488
Dausa,2013,387287
Dausa,2014,380254
Dausa,2015,376825
Dausa,2016,377386
Dausa,2017,346998
Dausa,2018,353811
Dholpur,2011,230475
Dholpur,2012,229905
Dholpur,2013,233422
Dholpur,2014,233441
Dholpur,2015,234415
Dholpur,2016,230355
Dholpur,2017,225872
Dholpur,2018,241233
Dungarpur,2011,199887
Dungarpur,2012,199932
Dungarpur,2013,203072
Dungarpur,2014,193497
Dungarpur,2015,189500
Dungarpur,2016,195932
Dungarpur,2017,196192
Dungarpur,2018,193707
Ganganagar,2011,1107330
Ganganagar,2012,1186549
Ganganagar,2013,1243356
Ganganagar,2014,1277609
Ganganagar,2015,1358389
Ganganagar,2016,1206857
Ganganagar,2017,1219924
Ganganagar,2018,1283621
Hanumangarh,2011,1220207
Hanumangarh,2012,1198414
Hanumangarh,2013,1266881
Hanumangarh,2014,1248622
Hanumangarh,2015,1295703
Hanumangarh,2016,1291650
Hanumangarh,2017,1262867
Hanumangarh,2018,1289751
Jaipur,2011,1090756
Jaipur,2012,1013001
Jaipur,2013,1109593
Jaipur,2014,1044671
Jaipur,2015,929231
Jaipur,2016,1036402
Jaipur,2017,901628
Jaipur,2018,980987
Jaisalmer,2011,848114
