State,Year,ratio
Odisha,2018,1.101531844
Odisha,2019,1.216781306
Odisha,2020,1.219398834
Chhattisgarh,2011,0.666666667
Chhattisgarh,2011,0.553571429
Chhattisgarh,2011,0.675835476
Chhattisgarh,2011,0.861991345
Chhattisgarh,2011,0.939759036
Chhattisgarh,2012,0.894230769
Chhattisgarh,2012,1.047619048
Chhattisgarh,2012,0.4625
Chhattisgarh,2012,0.664820383
Chhattisgarh,2012,0.855946995
Chhattisgarh,2013,0.416666667
Chhattisgarh,2013,0.596638655
Chhattisgarh,2013,0.61600238
Chhattisgarh,2013,0.867231332
Chhattisgarh,2013,0.773195876
Chhattisgarh,2014,0.785714286
Chhattisgarh,2014,0.755868545
Chhattisgarh,2014,0.654691794
Chhattisgarh,2014,0.942911798
Chhattisgarh,2014,1.47826087
Chhattisgarh,2015,0.733333333
Chhattisgarh,2015,0.641350211
Chhattisgarh,2015,0.742318947
Chhattisgarh,2015,0.968079198
Chhattisgarh,2015,1.615384615
Chhattisgarh,2016,1
Chhattisgarh,2016,0.583333333
Chhattisgarh,2016,0.777777778
Chhattisgarh,2016,0.707761352
Chhattisgarh,2016,1.003077861
Chhattisgarh,2017,0.879518072
Chhattisgarh,2017,0.746810599
Chhattisgarh,2017,1.074644477
Chhattisgarh,2017,2.03030303
Chhattisgarh,2018,0.583333333
Chhattisgarh,2018,0.962962963
Chhattisgarh,2018,0.731623932
Chhattisgarh,2018,1.140314213
Chhattisgarh,2018,1.72
Chhattisgarh,2019,0
Chhattisgarh,2019,0.827586207
Chhattisgarh,2019,0.775035765
Chhattisgarh,2019,1.188016303
Chhattisgarh,2019,1.113636364
Chhattisgarh,2020,0.598382749
Chhattisgarh,2020,0.806033085
Chhattisgarh,2020,1.256119225
Chhattisgarh,2020,0.653846154
Madhya Pradesh,2011,0.575606763
Madhya Pradesh,2011,0.723938923
Madhya Pradesh,2012,0.592449038
Madhya Pradesh,2012,0.755824867
Madhya Pradesh,2013,0.558005624
Madhya Pradesh,2013,0.762453423
Madhya Pradesh,2014,0.518961239
Madhya Pradesh,2014,0.781236198
Madhya Pradesh,2015,0.594289261
Madhya Pradesh,2015,0.833455542
Madhya Pradesh,2016,0.62143319
Madhya Pradesh,2016,0.889159098
Madhya Pradesh,2016,0.047445255
Madhya Pradesh,2017,0.634537685
Madhya Pradesh,2017,0.925374548
Madhya Pradesh,2017,0.198051948
Madhya Pradesh,2018,0.667373313
Madhya Pradesh,2018,0.972085442
Madhya Pradesh,2018,0.238188976
Madhya Pradesh,2019,0.694125413
Madhya Pradesh,2019,0.96337093
Madhya Pradesh,2019,0.316537468
Madhya Pradesh,2020,0.678850683
Madhya Pradesh,2020,1.026517683
Madhya Pradesh,2020,0.391691395
Gujarat,2011,0.365342589
Gujarat,2011,0.795792546
Gujarat,2012,0.365342589
Gujarat,2012,0.795792546
Gujarat,2013,0.384341766
Gujarat,2013,0.820012038
Gujarat,2014,0.388007568
Gujarat,2014,0.79806646
Gujarat,2015,0.446511047
Gujarat,2015,0.852046037
Gujarat,2016,0.626571556
Gujarat,2016,0.870077996
Gujarat,2017,0.877698928
Gujarat,2017,0.906347916
Gujarat,2018,0.880096368
Gujarat,2018,0.906802347
Gujarat,2019,0.965904833
Gujarat,2019,0.918331871
Gujarat,2020,1.070573139
Gujarat,2020,0.952721583
Maharashtra,2011,0.464245432
Maharashtra,2011,0.878025012
Maharashtra,2012,0.490403745
Maharashtra,2012,0.890112332
Maharashtra,2013,0.487400285
Maharashtra,2013,0.878055605
Maharashtra,2014,0.484198534
Maharashtra,2014,0.864687656
Maharashtra,2015,0.453374853
